lat,lon,lat_sin,lat_cos,lon_sin,lon_cos,elevation,coastal_distance,coastal_distance_log,baseline_temp,baseline_humidity,baseline_solar_radiation,baseline_wind_speed,zone_tropical,zone_subtropical,zone_temperate,zone_cold,year,year_norm,year_sin,year_cos,intervention_green_roof,intervention_solar_panels,intervention_flood_walls,intervention_permeable,n_interventions,building_age,building_area,building_area_log,building_type,solar_x_green,solar_x_solar_panel,coast_x_flood_wall,city
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,1,1,0,0,2,68.6878335929106,626.7606418997206,6.442158950342781,3,0.72,0.72,0.0,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,1,0,0,0,1,36.03087503164537,589.5726632329023,6.381092681805965,0,0.72,0.0,0.0,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,0,0,1,1,2,5.105380488334026,589.0142054704995,6.38014661367856,0,0.0,0.0,0.6666666666666666,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,0,1,1,1,3,62.27067976590095,172.06399120486333,5.153661417462427,4,0.0,0.72,0.6666666666666666,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,1,0,1,1,3,26.066028651052157,108.44328004747824,4.695406424619176,1,0.72,0.0,0.6666666666666666,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,1,0,1,2,53.585119574600824,514.530158779528,6.245195805682735,1,0.0,0.72,0.0,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,1,0,0,1,11.180198688744785,482.46750100084336,6.18098409650362,1,0.0,0.72,0.0,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,0,1,0,0,1,36.713262043067196,129.1690681080414,4.86883412941488,3,0.0,0.72,0.0,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,0,0,1,2,50.777465600047265,439.7570130752944,6.088493732836686,0,0.72,0.0,0.0,san_francisco
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,1,1,1,4,32.682291497970894,68.3275926309241,4.238842989012775,1,0.72,0.72,0.6666666666666666,san_francisco
